IMI;TAXAS_MULTAS_OUTROS_IMPOSTOS;FINANCIAMENTO_UNIAO_EUROPEIA;IMPOSTOS_MUNICIPAIS;IUC;TRANSFERENCIAS_ORCAMENTO_ESTADO;ldk;IMT;CODIGO_PERIODO;CODIGOINE;DSC_AUTARQUIA;VENDA_BENS_SERVICOS;DERRAMA_IRC;RECEITAS_TOTAIS;OUTRAS_RECEITAS
77565.74;130791.88;29054.67;685735.44;125671.37;3043722;T1_1401;351706.45;T1;1401;ABRANTES;551927.27;0;4594378.99;283939.61
144585.37;184736.4;0;964892.06;179349.57;2537597;T1_0101;448721.06;T1;0101;ÁGUEDA;1131089.91;7499.66;5226347.4;592768.43
9457.08;17451.32;833.54;44218.71;9880.58;1327853;T1_0901;7429.73;T1;0901;AGUIAR DA BEIRA;111236.89;0;1496275.02;12132.88
4942.95;3945.7;5129.48;61109.63;14666.43;1488702;T1_0701;32127.75;T1;0701;ALANDROAL;153829.21;5426.8;1831347.29;122576.97
36809.49;36682.76;568365.14;445727.65;91251.48;1565703;T1_0102;248244.24;T1;0102;ALBERGARIA-A-VELHA;424827.36;32739.68;3119344;114720.85
794938.27;315388.03;406138.84;4153989.05;214388.63;1244578;T1_0801;2829274.12;T1;0801;ALBUFEIRA;3359839.7;0;12287223.48;3122677.89
35214.54;86785.87;314118.58;322497.35;41573.49;2513913;T1_1501;117203.89;T1;1501;ALCÁCER DO SAL;282279.24;41719.56;3534707.63;101899.46
13366.6;45332.91;34403.88;191979.99;49651.02;1266258;T1_1402;60715.2;T1;1402;ALCANENA;298603.81;22914.26;1929646.21;138400.53
155006.74;300226.97;0;1282160.33;209036.57;2990361;T1_1001;584216.59;T1;1001;ALCOBAÇA;388247.65;33673.46;4921425.31;260656.33
312313.3;177334.08;8264.26;1034759.14;66345.78;741608;T1_1502;426090.16;T1;1502;ALCOCHETE;392981.71;52675.82;2217676.52;40063.41
4466.53;3872.33;548930.06;22070.36;7291.99;1580532;T1_0802;6439.51;T1;0802;ALCOUTIM;110842.65;0;2386581.07;124206
119550.87;253879.4;291649.59;1435108.53;151496.74;1715197;T1_1101;866631.08;T1;1101;ALENQUER;392628.3;43550.44;4755082.89;920499.47
394.5;17687.31;0;26167.54;4910.68;1433244;T1_0401;3175.05;T1;0401;ALFÂNDEGA DA FÉ;46151.74;0;1540906.98;35343.7
10523.9;33880.26;408.23;126153.16;30658.73;1719280;T1_1701;44680.7;T1;1701;ALIJÓ;279429.97;6409.57;2189762.48;64491.12
42411.49;45666.26;0;251514.26;20744.77;1291674;T1_0803;142691.74;T1;0803;ALJEZUR;325247.69;0;2104155.77;235719.82
15812.71;36098.99;515055.6;162660.34;29526.64;1498506;T1_0201;44621.41;T1;0201;ALJUSTREL;314233.33;36600.59;2560512.18;70056.91
624206.88;688430.58;0;4880739.59;603117.54;4435560;T1_1503;2689655;T1;1503;ALMADA;2302449.71;275329.59;17626166.73;6007417.43
2242.1;26782.46;118089.6;80066.26;20735.13;1931208;T1_0902;30306.57;T1;0902;ALMEIDA;276027.16;0;2952453.69;547062.67
36764.51;68236.16;525050.51;416460.61;73146.87;1436397;T1_1403;218070.81;T1;1403;ALMEIRIM;366965.04;20242.26;4228419.86;1483546.7
1367.89;72363.09;0;146662.53;23269.56;2153988;T1_0202;41571.29;T1;0202;ALMODÔVAR;186339.73;8090.7;2713168.78;226178.52
19051.57;22171.77;0;141108.25;22397.74;843147;T1_1404;73896.23;T1;1404;ALPIARÇA;172026.89;3590.94;1327749.54;171467.4
8673.25;26368.33;2812.7;49004.63;3058.58;1088322;T1_1201;3644.15;T1;1201;ALTER DO CHÃO;117090.34;7260.32;1303430.45;46200.78
15637.64;24100.92;71950.86;78325.67;16154.77;1191513;T1_1002;22432.34;T1;1002;ALVAIÁZERE;180768.44;0;1768945.94;246387.97
1729.1;5686.28;31731.63;17968.4;5800.2;839199;T1_0203;4752.82;T1;0203;ALVITO;89853.05;0;1032742.61;53990.53
688323.5;523658.93;0;1700767.62;385448.42;3423632;T1_1115;103336.77;T1;1115;AMADORA;3079040.81;0;10142883.89;1939443.46
52854.94;347811.83;751073;795316.37;159368.03;3684768;T1_1301;235281.57;T1;1301;AMARANTE;1235370.16;0;6965563.13;499035.6
16635.44;64143.96;627300.75;264726.77;61200.91;1460196;T1_0301;122746.46;T1;0301;AMARES;330965.38;0;3014122.59;330933.69
31288.75;70850.4;724715.73;453128.03;104402.96;2201877;T1_0103;196019.59;T1;0103;ANADIA;354752.57;50566.33;3961012.95;226539.62
63935.34;117055.37;741737.21;719188.82;136679.42;2381567;T1_4301;401518.69;T1;4301;ANGRA DO HEROÍSMO;311078.7;0;4557668.63;404096.9
16391.09;148245.46;128529.88;268811.85;37792.37;1343055;T1_1003;66382.93;T1;1003;ANSIÃO;266117.39;0;2114751.74;108237.62
28821.22;101394.51;184703.02;278164.7;61694.87;2813040;T1_1601;86254.1;T1;1601;ARCOS DE VALDEVEZ;702255.79;0;4980004.61;1001841.1
12782.5;73933.85;5498.77;167842.4;33607.61;1648200;T1_0601;47518.44;T1;0601;ARGANIL;234083.03;0;2178741.67;123117.47
5334;55025.85;0;108838.43;17442.81;1213308;T1_1801;25940.29;T1;1801;ARMAMAR;272560.33;5095.48;2193444.13;598737.37
24903.23;38705.33;695726.59;258080.58;61834.36;2187744;T1_0104;118842.55;T1;0104;AROUCA;430976.36;13795.11;3829282.14;256754.61
1502.68;12127.58;194124.46;74644.65;20614.42;1637931;T1_0702;32721.08;T1;0702;ARRAIOLOS;265742.38;7678.89;2375146.14;202703.65
3909.99;1229.82;27341.92;10672.39;5061.38;1015389;T1_1202;471.2;T1;1202;ARRONCHES;127255.2;0;1622776.17;442117.66
21275.91;107584.13;58128.58;431972.68;49218.17;925968;T1_1102;241251.66;T1;1102;ARRUDA DOS VINHOS;505073.38;12642.81;2865102.43;943959.79
129912.88;1035125.47;27089.3;2639955.33;351220.77;2311887;T1_0105;1123696.21;T1;0105;AVEIRO;440532.34;0;6016772.08;597308.11
4263.48;19021.6;0;47714.83;13687.18;1364548;T1_1203;7408.11;T1;1203;AVIS;153478.53;3334.46;2454111.88;888370.52
52711.65;81191.21;0;570200.94;136734.65;1368454;T1_1103;269952.37;T1;1103;AZAMBUJA;1456712.89;29611.06;3750938.5;355570.67
13496.07;84963.78;125855.81;195866.28;51294.89;2011575;T1_1302;46111.54;T1;1302;BAIÃO;348732.8;0;3606705.39;924675.5
261190.5;898084.55;355265.64;2457179.44;413632.14;6350904;T1_0302;860926.31;T1;0302;BARCELOS;2086120.32;23345.94;15519931.7;4270462.3
63.73;3440.76;212535.06;14170.04;3797.35;840975;T1_0204;6868.2;T1;0204;BARRANCOS;12182.23;0;1159700.52;79838.19
129259.14;1692152.84;0;3759305.86;249323.98;2582988;T1_1504;1650241.26;T1;1504;BARREIRO;1801591.41;38328.64;8685547.33;541662.06
23163.76;138110.26;81899.01;533911.3;65850.93;969406;T1_1004;306786.35;T1;1004;BATALHA;181394.56;0;1925603.28;158992.41
47424.91;55632.98;771880.37;587900.68;126415.13;2829411;T1_0205;331029.41;T1;0205;BEJA;783839.64;27398.25;5289326.49;316294.8
6343.55;14117.69;0;60928.18;20042.96;1015314;T1_0501;20423.98;T1;0501;BELMONTE;163050.34;0;1465733.73;226441.21
97618.14;55211.81;111304.37;816201.33;110869.95;1213509;T1_1405;522357.99;T1;1405;BENAVENTE;630803.9;30143.44;3350553.47;578734.87
22399.58;64132.42;4476.66;178304.77;48703.34;935347;T1_1005;43069.43;T1;1005;BOMBARRAL;354535.79;0;1548795.49;76131.27
6030.43;15581.72;23670.83;62036.11;18933.15;955719;T1_0703;21490.81;T1;0703;BORBA;300372.08;0;1857247.33;515449.31
0;39661.03;25380.35;75466.27;9256.92;1491777;T1_1702;26548.32;T1;1702;BOTICAS;250228.75;0;2026158.6;183306.23
278057.67;1710349.7;2343779.92;5442587.35;654157.27;5554165;T1_0303;2653905.77;T1;0303;BRAGA;348561.95;146116.94;21720802;8031707.78
59339.46;256378.1;930177.52;660885.89;120005.83;3645586;T1_0402;225162.5;T1;0402;BRAGANÇA;2788380.21;0;8273265.79;248236.17
30515.89;91050.16;1584551.63;324073.91;46764.48;1795554;T1_0304;145887.61;T1;0304;CABECEIRAS DE BASTO;189790.37;9855.77;5057294.17;1163324.26
21867.02;41579.86;117691.77;221215.34;42589.73;1241367;T1_1104;115178.73;T1;1104;CADAVAL;359167.26;0;2016757.1;77315.73
72337.39;407244.9;948479.6;1426006.77;194853.26;1791093;T1_1006;675001.45;T1;1006;CALDAS DA RAINHA;352848.66;76569.77;7230272.35;2711844.32
21768.33;28331.77;0;159344.64;34433.65;1628400;T1_3101;74810.89;T1;3101;CALHETA (MADEIRA);148383.68;0;1936128.32;0
3384.59;4796.29;0;36846.71;6859.44;1013342;T1_4501;21806.39;T1;4501;CALHETA (SÃO JORGE);105569.1;0;1242228.66;86470.85
85044.45;384295.76;190.66;645386.13;73881.75;1887088;T1_3102;102164.17;T1;3102;CÂMARA DE LOBOS;766553.8;0;4583166.03;1283947.44
35548.59;63388.99;105398.79;411437.41;74505.7;1534830;T1_1602;237994.13;T1;1602;CAMINHA;445386.13;0;2650658.27;153605.94
12559.64;37645.02;64759.77;216063.15;31176.21;1143213;T1_1204;134682.28;T1;1204;CAMPO MAIOR;301260.03;0;1918239.42;192943.47
16375.16;106060.8;87210.13;490960.17;123891.74;2410569;T1_0602;244632.47;T1;0602;CANTANHEDE;206393.41;0;3384138.2;189005.49
8818.16;11853.75;0;93026.72;14702.95;1581126;T1_0403;57651.86;T1;0403;CARRAZEDA DE ANSIÃES;114239.72;0;2106409.06;318016.62
8377.55;66627.14;111214.95;150751.46;29578.01;1049055;T1_1802;46168.76;T1;1802;CARREGAL DO SAL;110564.15;0;1548137.09;126551.53
37386.99;105948.92;0;508304.69;85560.4;1186449;T1_1406;241913.31;T1;1406;CARTAXO;970257.79;37495.07;3841035.69;1176024.21
1935626.05;2444191.08;0;16003971.62;999798.45;5035463;T1_1105;9307179.56;T1;1105;CASCAIS;4222015.95;1317176.48;34291522.31;9030071.74
6608.26;25881.55;132890.67;48755.07;7999.89;797442;T1_1007;8265.37;T1;1007;CASTANHEIRA DE PÊRA;50881.64;0;1045069.75;15100.37
52719.47;292999.51;0;772724.38;123814.29;4234787;T1_0502;303191.11;T1;0502;CASTELO BRANCO;1229432;0;7449100.92;1212157.54
11949.63;32559.19;183480.18;112372.61;40669.28;1481475;T1_0106;27194.51;T1;0106;CASTELO DE PAIVA;246859.75;0;2130620.74;106433.2
4567.03;13408.69;0;40080.39;9882.39;1028313;T1_1205;12222.28;T1;1205;CASTELO DE VIDE;124840.97;0;1274144.77;80910.41
17340.08;65996.48;972.46;179567.28;42614.76;2082915;T1_1803;53615.96;T1;1803;CASTRO DAIRE;455527.68;0;3207257.24;488274.82
24722.81;2021248.36;9624.74;2104871.2;8322.37;991476;T1_0804;50577.66;T1;0804;CASTRO MARIM;395432.04;0;3565579.11;64175.13
5389.89;18303.95;0;152843.41;22795.31;1490265;T1_0206;100683.6;T1;0206;CASTRO VERDE;187287.41;5670.66;1939245.61;108849.79
10255.31;48924.33;275883.63;133372.71;33924.84;1463748;T1_0903;40268.23;T1;0903;CELORICO DA BEIRA;176253.31;0;6478216.54;4428958.89
22532.63;68716.41;0;186862.18;47382.97;1904036;T1_0305;48230.17;T1;0305;CELORICO DE BASTO;433803.63;0;3778836.5;1254134.69
18961.87;12550.86;0;425910.6;26079.42;1847556;T1_1407;361731.86;T1;1407;CHAMUSCA;244595.47;6586.59;3408761.99;890699.92
95009.88;85521.14;1279557.13;566572.69;139416.5;3542796;T1_1703;246150.58;T1;1703;CHAVES;1673278.09;474.59;9360355.95;2298152.04
14536.82;62172.41;831648.5;134431.16;31031.3;2080515;T1_1804;26690.63;T1;1804;CINFÃES;81171.8;0;3872238.77;744472.31
385133.69;1427283.68;181099.85;4401008.57;553427.71;4655037;T1_0603;1959049.94;T1;0603;COIMBRA;579373.05;76113.55;18533737.17;8717218.7
23690.3;106280.15;379300.14;300192.39;54417.3;1128208;T1_0604;115804.64;T1;0604;CONDEIXA-A-NOVA;789281.92;0;3096461.41;499478.96
