TOTAL_RH;TOTAL_SEM_VINCULO_PERMANENTE;DSC_AUTARQUIA;TOTAL_TECNICOS_SUPERIORES;REPRESENTANTES_ELEITOS;TOTAL_FUNCIONARIOS_NAO_SUPERIORES;TOTAL_COM_VINCULO_PERMANENTE;CODIGO_PERIODO;CARGOS_MANDATOS_POLITICOS;TOTAL_DIRIGENTES;TOTAL_POR_TIPOLOGIA;ldk;CODIGOINE;TOTAL_POR_VINCULO;TOTAL_COMISSAO_DE_SERVICO
410;62;ABRANTES;66;14;330;344;T1;;;410;T1_1401;1401;410;4
485;47;ÁGUEDA;62;12;411;438;T1;;;485;T1_0101;0101;485;0
110;8;AGUIAR DA BEIRA;14;3;93;102;T1;;;110;T1_0901;0901;110;0
211;11;ALANDROAL;29;0;182;200;T1;;;211;T1_0701;0701;211;0
294;106;ALBERGARIA-A-VELHA;80;5;209;183;T1;;;294;T1_0102;0102;294;5
1329;137;ALBUFEIRA;158;23;1148;1169;T1;;;1329;T1_0801;0801;1329;23
356;57;ALCÁCER DO SAL;38;2;316;293;T1;;;356;T1_1501;1501;356;6
189;63;ALCANENA;30;2;157;124;T1;;;189;T1_1402;1402;189;2
371;59;ALCOBAÇA;63;16;292;296;T1;;;371;T1_1001;1001;371;16
413;106;ALCOCHETE;76;6;331;301;T1;;;413;T1_1502;1502;413;6
145;7;ALCOUTIM;21;1;123;131;T1;;;145;T1_0802;0802;145;7
600;28;ALENQUER;64;6;530;558;T1;;;600;T1_1101;1101;600;14
159;39;ALFÂNDEGA DA FÉ;21;4;134;116;T1;;;159;T1_0401;0401;159;4
218;59;ALIJÓ;36;7;175;159;T1;;;218;T1_1701;1701;218;0
199;61;ALJEZUR;26;3;170;138;T1;;;199;T1_0803;0803;199;0
181;44;ALJUSTREL;33;1;147;136;T1;;;181;T1_0201;0201;181;1
1490;171;ALMADA;180;59;1251;1253;T1;;;1490;T1_1503;1503;1490;66
141;19;ALMEIDA;38;2;101;120;T1;;;141;T1_0902;0902;141;2
344;62;ALMEIRIM;31;0;313;276;T1;;;344;T1_1403;1403;344;6
210;31;ALMODÔVAR;30;3;177;176;T1;;;210;T1_0202;0202;210;3
190;42;ALPIARÇA;16;1;173;145;T1;;;190;T1_1404;1404;190;3
146;20;ALTER DO CHÃO;22;3;121;126;T1;;;146;T1_1201;1201;146;0
113;18;ALVAIÁZERE;25;2;86;92;T1;;;113;T1_1002;1002;113;3
114;20;ALVITO;9;6;99;88;T1;;;114;T1_0203;0203;114;6
1704;151;AMADORA;216;32;1456;1508;T1;;;1704;T1_1115;1115;1704;45
627;293;AMARANTE;137;11;479;323;T1;;;627;T1_1301;1301;627;11
250;45;AMARES;56;7;187;197;T1;;;250;T1_0301;0301;250;8
265;134;ANADIA;80;6;179;123;T1;;;265;T1_0103;0103;265;8
228;31;ANGRA DO HEROÍSMO;23;5;200;195;T1;;;228;T1_4301;4301;228;2
138;19;ANSIÃO;18;2;118;118;T1;;;138;T1_1003;1003;138;1
337;99;ARCOS DE VALDEVEZ;33;1;303;234;T1;;;337;T1_1601;1601;337;4
232;30;ARGANIL;33;0;199;202;T1;;;232;T1_0601;0601;232;0
203;40;ARMAMAR;31;4;168;163;T1;;;203;T1_1801;1801;203;0
210;44;AROUCA;20;5;185;161;T1;;;210;T1_0104;0104;210;5
152;11;ARRAIOLOS;12;2;138;137;T1;;;152;T1_0702;0702;152;4
115;31;ARRONCHES;15;1;99;84;T1;;;115;T1_1202;1202;115;0
242;54;ARRUDA DOS VINHOS;25;5;212;188;T1;;;242;T1_1102;1102;242;0
558;29;AVEIRO;104;38;416;526;T1;;;558;T1_0105;0105;558;3
223;30;AVIS;42;4;177;189;T1;;;223;T1_1203;1203;223;4
367;24;AZAMBUJA;48;12;307;325;T1;;;367;T1_1103;1103;367;18
348;38;BAIÃO;62;1;285;300;T1;;;348;T1_1302;1302;348;10
680;158;BARCELOS;134;21;525;501;T1;;;680;T1_0302;0302;680;21
103;18;BARRANCOS;9;3;91;82;T1;;;103;T1_0204;0204;103;3
814;119;BARREIRO;138;31;645;664;T1;;;814;T1_1504;1504;814;31
98;20;BATALHA;23;4;71;74;T1;;;98;T1_1004;1004;98;4
546;53;BEJA;48;16;482;492;T1;;;546;T1_0205;0205;546;1
55;8;BELMONTE;5;2;48;45;T1;;;55;T1_0501;0501;55;2
395;37;BENAVENTE;53;5;337;349;T1;;;395;T1_1405;1405;395;9
235;79;BOMBARRAL;30;4;201;156;T1;;;235;T1_1005;1005;235;0
228;54;BORBA;25;1;202;174;T1;;;228;T1_0703;0703;228;0
