TOTAL_RH;TOTAL_SEM_VINCULO_PERMANENTE;DSC_AUTARQUIA;TOTAL_TECNICOS_SUPERIORES;REPRESENTANTES_ELEITOS;TOTAL_FUNCIONARIOS_NAO_SUPERIORES ;TOTAL_COM_VINCULO_PERMANENTE;CODIGO_PERIODO;CARGOS_MANDATOS_POLITICOS;TOTAL_DIRIGENTES;TOTAL_POR_TIPOLOGIA;ldk;CODIGOINE;TOTAL_POR_VINCULO;TOTAL_COMISSAO_DE_SERVICO
390;1;ABRANTES;79;;300;375;T1;;11;390;T1_1401;1401;390;14
400;22;ÁGUEDA;59;;330;362;T1;;11;400;T1_0101;0101;400;16
101;1;AGUIAR DA BEIRA;12;;87;97;T1;;2;101;T1_0901;0901;101;3
210;26;ALANDROAL;34;;176;184;T1;;0;210;T1_0701;0701;210;0
247;18;ALBERGARIA-A-VELHA;38;;204;222;T1;;5;247;T1_0102;0102;247;7
1233;0;ALBUFEIRA;149;;1063;1233;T1;;21;1233;T1_0801;0801;1233;0
341;14;ALCÁCER DO SAL;45;;293;327;T1;;3;341;T1_1501;1501;341;0
162;11;ALCANENA;22;;136;151;T1;;4;162;T1_1402;1402;162;0
319;2;ALCOBAÇA;59;;246;303;T1;;14;319;T1_1001;1001;319;14
377;19;ALCOCHETE;70;;299;350;T1;;8;377;T1_1502;1502;377;8
179;13;ALCOUTIM;21;;156;158;T1;;2;179;T1_0802;0802;179;8
621;50;ALENQUER;108;;511;565;T1;;2;621;T1_1101;1101;621;6
148;22;ALFÂNDEGA DA FÉ;26;;116;115;T1;;6;148;T1_0401;0401;148;11
152;1;ALIJÓ;25;;123;145;T1;;4;152;T1_1701;1701;152;6
176;6;ALJEZUR;22;;151;164;T1;;3;176;T1_0803;0803;176;6
189;50;ALJUSTREL;40;;146;133;T1;;3;189;T1_0201;0201;189;6
1476;66;ALMADA;183;;1232;1344;T1;;61;1476;T1_1503;1503;1476;66
131;10;ALMEIDA;36;;94;120;T1;;1;131;T1_0902;0902;131;1
248;0;ALMEIRIM;22;;226;242;T1;;0;248;T1_1403;1403;248;6
222;8;ALMODÔVAR;37;;182;214;T1;;3;222;T1_0202;0202;222;0
170;9;ALPIARÇA;12;;157;157;T1;;1;170;T1_1404;1404;170;4
148;7;ALTER DO CHÃO;21;;124;141;T1;;3;148;T1_1201;1201;148;0
98;0;ALVAIÁZERE;14;;84;97;T1;;0;98;T1_1002;1002;98;1
124;26;ALVITO;11;;109;94;T1;;4;124;T1_0203;0203;124;4
1652;93;AMADORA;217;;1396;1503;T1;;39;1652;T1_1115;1115;1652;56
626;85;AMARANTE;124;;486;525;T1;;16;626;T1_1301;1301;626;16
238;33;AMARES;42;;190;197;T1;;6;238;T1_0301;0301;238;8
233;0;ANADIA;25;;201;224;T1;;7;233;T1_0103;0103;233;9
251;27;ANGRA DO HEROÍSMO;24;;220;213;T1;;7;251;T1_4301;4301;251;11
122;10;ANSIÃO;14;;105;109;T1;;3;122;T1_1003;1003;122;3
316;2;ARCOS DE VALDEVEZ;32;;281;310;T1;;3;316;T1_1601;1601;316;4
217;19;ARGANIL;31;;186;196;T1;;0;217;T1_0601;0601;217;2
173;9;ARMAMAR;23;;147;158;T1;;3;173;T1_1801;1801;173;6
203;0;AROUCA;36;;167;203;T1;;0;203;T1_0104;0104;203;0
146;3;ARRAIOLOS;13;;130;140;T1;;3;146;T1_0702;0702;146;3
94;8;ARRONCHES;8;;85;86;T1;;1;94;T1_1202;1202;94;0
230;23;ARRUDA DOS VINHOS;37;;188;197;T1;;5;230;T1_1102;1102;230;10
547;8;AVEIRO;123;;403;530;T1;;21;547;T1_0105;0105;547;9
188;7;AVIS;37;;147;181;T1;;4;188;T1_1203;1203;188;0
331;6;AZAMBUJA;44;;282;313;T1;;5;331;T1_1103;1103;331;12
328;27;BAIÃO;65;;262;296;T1;;1;328;T1_1302;1302;328;5
630;17;BARCELOS;141;;468;579;T1;;21;630;T1_0302;0302;630;34
95;11;BARRANCOS;12;;80;79;T1;;3;95;T1_0204;0204;95;5
696;0;BARREIRO;120;;551;671;T1;;25;696;T1_1504;1504;696;25
91;9;BATALHA;21;;66;77;T1;;4;91;T1_1004;1004;91;5
496;4;BEJA;53;;435;477;T1;;8;496;T1_0205;0205;496;15
50;4;BELMONTE;9;;40;45;T1;;1;50;T1_0501;0501;50;1
327;2;BENAVENTE;52;;271;317;T1;;4;327;T1_1405;1405;327;8
171;13;BOMBARRAL;26;;142;153;T1;;3;171;T1_1005;1005;171;5
199;47;BORBA;19;;179;152;T1;;1;199;T1_0703;0703;199;0
125;9;BOTICAS;22;;99;111;T1;;4;125;T1_1702;1702;125;5
1707;223;BRAGA;297;;1382;1442;T1;;28;1707;T1_0303;0303;1707;42
360;14;BRAGANÇA;39;;313;338;T1;;8;360;T1_0402;0402;360;8
281;11;CABECEIRAS DE BASTO;17;;260;265;T1;;4;281;T1_0304;0304;281;5
203;8;CADAVAL;24;;173;185;T1;;6;203;T1_1104;1104;203;10
316;1;CALDAS DA RAINHA;25;;288;307;T1;;3;316;T1_1006;1006;316;8
162;42;CALHETA (MADEIRA);14;;147;119;T1;;1;162;T1_3101;3101;162;1
110;0;CALHETA (SÃO JORGE);1;;101;101;T1;;8;110;T1_4501;4501;110;9
238;0;CÂMARA DE LOBOS;13;;219;233;T1;;6;238;T1_3102;3102;238;5
286;30;CAMINHA;56;;225;250;T1;;5;286;T1_1602;1602;286;6
216;53;CAMPO MAIOR;35;;179;158;T1;;2;216;T1_1204;1204;216;5
255;36;CANTANHEDE;39;;200;198;T1;;16;255;T1_0602;0602;255;21
130;0;CARRAZEDA DE ANSIÃES;14;;113;124;T1;;3;130;T1_0403;0403;130;6
103;0;CARREGAL DO SAL;15;;85;98;T1;;3;103;T1_1802;1802;103;5
373;2;CARTAXO;43;;330;368;T1;;0;373;T1_1406;1406;373;3
1470;96;CASCAIS;426;;992;1303;T1;;52;1470;T1_1105;1105;1470;71
79;0;CASTANHEIRA DE PÊRA;10;;68;76;T1;;1;79;T1_1007;1007;79;3
473;78;CASTELO BRANCO;108;;357;387;T1;;8;473;T1_0502;0502;473;8
165;0;CASTELO DE PAIVA;22;;139;158;T1;;4;165;T1_0106;0106;165;7
146;3;CASTELO DE VIDE;13;;132;142;T1;;1;146;T1_1205;1205;146;1
271;58;CASTRO DAIRE;46;;220;205;T1;;5;271;T1_1803;1803;271;8
142;5;CASTRO MARIM;20;;116;127;T1;;6;142;T1_0804;0804;142;10
215;15;CASTRO VERDE;38;;174;193;T1;;3;215;T1_0206;0206;215;7
193;1;CELORICO DA BEIRA;30;;162;192;T1;;1;193;T1_0903;0903;193;0
283;38;CELORICO DE BASTO;51;;224;237;T1;;8;283;T1_0305;0305;283;8
181;9;CHAMUSCA;25;;156;172;T1;;0;181;T1_1407;1407;181;0
480;1;CHAVES;76;;393;468;T1;;11;480;T1_1703;1703;480;11
317;82;CINFÃES;44;;272;233;T1;;1;317;T1_1804;1804;317;2
1326;20;COIMBRA;265;;1013;1243;T1;;48;1326;T1_0603;0603;1326;63
205;38;CONDEIXA-A-NOVA;24;;177;161;T1;;4;205;T1_0604;0604;205;6
115;13;CONSTÂNCIA;20;;93;99;T1;;2;115;T1_1408;1408;115;3
385;4;CORUCHE;32;;347;374;T1;;6;385;T1_1409;1409;385;7
31;7;CORVO;1;;30;24;T1;;0;31;T1_4901;4901;31;0
315;20;COVILHÃ;34;;272;286;T1;;9;315;T1_0503;0503;315;9
110;9;CRATO;11;;99;99;T1;;0;110;T1_1206;1206;110;2
124;12;CUBA;20;;103;111;T1;;1;124;T1_0207;0207;124;1
303;50;ELVAS;71;;228;244;T1;;4;303;T1_1207;1207;303;9
340;4;ENTRONCAMENTO;30;;302;326;T1;;8;340;T1_1410;1410;340;10
563;1;ESPINHO;54;;498;551;T1;;11;563;T1_0107;0107;563;11
155;2;ESPOSENDE;43;;106;148;T1;;6;155;T1_0306;0306;155;5
218;2;ESTARREJA;36;;173;204;T1;;9;218;T1_0108;0108;218;12
243;62;ESTREMOZ;33;;207;174;T1;;3;243;T1_0704;0704;243;7
1092;66;ÉVORA;179;;896;1005;T1;;17;1092;T1_0705;0705;1092;21
506;48;FAFE;85;;413;450;T1;;8;506;T1_0307;0307;506;8
763;0;FARO;138;;603;732;T1;;22;763;T1_0805;0805;763;31
705;75;FELGUEIRAS;117;;574;615;T1;;14;705;T1_1303;1303;705;15
253;26;FERREIRA DO ALENTEJO;35;;214;219;T1;;4;253;T1_0208;0208;253;8
128;1;FERREIRA DO ZÊZERE;21;;105;121;T1;;2;128;T1_1411;1411;128;6
499;13;FIGUEIRA DA FOZ;78;;410;473;T1;;11;499;T1_0605;0605;499;13
128;3;FIGUEIRA DE CASTELO RODRIGO;21;;106;122;T1;;1;128;T1_0904;0904;128;3
163;11;FIGUEIRÓ DOS VINHOS;37;;125;150;T1;;1;163;T1_1008;1008;163;2
110;5;FORNOS DE ALGODRES;16;;93;105;T1;;1;110;T1_0905;0905;110;0
168;11;FREIXO DE ESPADA À CINTA;17;;149;155;T1;;2;168;T1_0404;0404;168;2
88;13;FRONTEIRA;12;;74;75;T1;;2;88;T1_1208;1208;88;0
1699;1;FUNCHAL;104;;1528;1619;T1;;67;1699;T1_3103;3103;1699;79
278;1;FUNDÃO;64;;206;264;T1;;8;278;T1_0504;0504;278;13
122;4;GAVIÃO;9;;111;114;T1;;2;122;T1_1209;1209;122;4
159;23;GÓIS;24;;134;133;T1;;1;159;T1_0606;0606;159;3
129;15;GOLEGÃ;11;;117;113;T1;;1;129;T1_1412;1412;129;1
1620;251;GONDOMAR;289;;1307;1364;T1;;24;1620;T1_1304;1304;1620;5
171;7;GOUVEIA;19;;150;162;T1;;2;171;T1_0906;0906;171;2
460;31;GRÂNDOLA;86;;348;398;T1;;26;460;T1_1505;1505;460;31
540;0;GUARDA;107;;420;527;T1;;13;540;T1_0907;0907;540;13
1651;183;GUIMARÃES;264;;1362;1431;T1;;25;1651;T1_0308;0308;1651;37
186;11;HORTA;12;;171;175;T1;;3;186;T1_4701;4701;186;0
244;9;IDANHA-A-NOVA;46;;190;227;T1;;8;244;T1_0505;0505;244;8
275;51;ÍLHAVO;84;;184;217;T1;;7;275;T1_0110;0110;275;7
414;15;LAGOA (ALGARVE);23;;379;382;T1;;12;414;T1_0806;0806;414;17
117;0;LAGOA (SÃO MIGUEL);8;;107;114;T1;;2;117;T1_4201;4201;117;3
715;5;LAGOS;85;;614;693;T1;;16;715;T1_0807;0807;715;17
45;0;LAJES DAS FLORES;5;;40;44;T1;;0;45;T1_4801;4801;45;1
86;14;LAJES DO PICO;10;;75;71;T1;;1;86;T1_4601;4601;86;1
209;8;LAMEGO;45;;158;191;T1;;6;209;T1_1805;1805;209;10
692;10;LEIRIA;116;;557;648;T1;;19;692;T1_1009;1009;692;34
9172;194;LISBOA;2195;;6815;8956;T1;;162;9172;T1_1106;1106;9172;22
1674;81;LOULÉ;246;;1405;1560;T1;;23;1674;T1_0808;0808;1674;33
2134;28;LOURES;416;;1677;2051;T1;;41;2134;T1_1107;1107;2134;55
368;40;LOURINHÃ;32;;325;312;T1;;11;368;T1_1108;1108;368;16
247;36;LOUSÃ;46;;199;211;T1;;2;247;T1_0607;0607;247;0
699;52;LOUSADA;94;;595;632;T1;;10;699;T1_1305;1305;699;15
184;0;MAÇÃO;27;;157;182;T1;;0;184;T1_1413;1413;184;2
283;32;MACEDO DE CAVALEIROS;64;;213;241;T1;;6;283;T1_0405;0405;283;10
183;6;MACHICO;20;;158;172;T1;;5;183;T1_3104;3104;183;5
106;10;MADALENA;19;;86;93;T1;;1;106;T1_4602;4602;106;3
991;32;MAFRA;95;;880;936;T1;;16;991;T1_1109;1109;991;23
1085;167;MAIA;310;;751;879;T1;;24;1085;T1_1306;1306;1085;39
267;11;MANGUALDE;31;;234;256;T1;;2;267;T1_1806;1806;267;0
69;2;MANTEIGAS;10;;57;63;T1;;2;69;T1_0908;0908;69;4
405;30;MARCO DE CANAVESES;48;;348;365;T1;;9;405;T1_1307;1307;405;10
274;9;MARINHA GRANDE;50;;216;261;T1;;8;274;T1_1010;1010;274;4
102;2;MARVÃO;10;;90;98;T1;;2;102;T1_1210;1210;102;2
1715;147;MATOSINHOS;389;;1275;1502;T1;;51;1715;T1_1308;1308;1715;66
300;41;MEALHADA;62;;224;245;T1;;14;300;T1_0111;0111;300;14
150;4;MEDA;26;;123;146;T1;;1;150;T1_0909;0909;150;0
293;25;MELGAÇO;48;;238;268;T1;;7;293;T1_1603;1603;293;0
274;3;MÉRTOLA;32;;238;266;T1;;4;274;T1_0209;0209;274;5
108;0;MESÃO FRIO;6;;100;106;T1;;2;108;T1_1704;1704;108;2
219;9;MIRA;26;;188;203;T1;;5;219;T1_0608;0608;219;7
